tissue,AD_level,method,name,log2FC,FDR
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_001664.2_region_1_159322__ID=id0,0.5432664933293045,0.0012297293985604927
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_001716.2_region_1_153080__ID=id0,0.9177945544868713,0.0023027270697532657
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_001798.2_region_1_154675__ID=id0,-0.59668895399831,0.09102410763441914
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_002645.1_region_1_27317__ID=id0,-0.5136522920136475,0.09763880080350111
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_000898.1_region_1_162114__ID=id0,0.59771707220476,0.2115580337173778
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_001806.2_region_1_152222__ID=id0,0.36505150601016223,0.3482844764182641
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_001611.1_region_1_185578__ID=id0,-0.20333719163316805,0.4033629002200619
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_009823.1_region_1_9711__ID=id0,-0.1859988032966331,0.3692855309998816
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_012959.1_region_1_34920__ID=id0,0.9796097620670035,0.5648712495743362
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_001460.1_region_1_34125__ID=id0,0.205568525150432,0.41226223857198785
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_009825.1_region_1_9355__ID=id0,0.14800402842377824,0.5648712495743362
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_009333.1_region_1_137969__ID=id0,-0.006743536309787634,0.9616841589113239
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_001405.1_region_1_35937__ID=id0,-0.07895378382380613,0.6518929754340982
MSBB_BM22,AD_definite,voom+limma no prefilter,NC_006273.2_region_1_235646__ID=id0,-0.07471059096539534,0.9616841589113239
MSBB_BM22,AD_definite,voom+limma prefilter,NC_001798.2_region_1_154675__ID=id0,-0.48670273736366054,0.42672951539968773
MSBB_BM22,AD_definite,voom+limma prefilter,NC_002645.1_region_1_27317__ID=id0,-0.4366616491840879,0.42672951539968773
MSBB_BM22,AD_definite,voom+limma prefilter,NC_009823.1_region_1_9711__ID=id0,-0.19606291215164762,0.5395378071386066
